file_name,rules,threat_pair,trad_result,truth_actual,truth_experiment
detect-output/iotb-rules/alarm.rules,"['""Alarm reset at startup""', '""Reset all alarms""']","r1a1, r2a7",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Activate full alarm""']","r2a1, r9a5",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Activate fire alarm""']","r2a1, r11a5",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarms deactivated""']","r2a1, r12a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarm sirens mode 1 - sirene setting""']","r2a1, r14a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarm sirens mode 2 - sirene setting""']","r2a1, r15a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarm sirens mode 3 - sirene setting""']","r2a1, r16a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarm sirens mode 4 - sirene setting""']","r2a1, r17a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Alarm sirens mode 5 - sirene setting""']","r2a1, r18a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Presence after alarm reset""', '""Activate full alarm""']","r3a1, r9a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Presence after alarm reset""', '""Activate fire alarm""']","r3a1, r11a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate fire alarm""']","r9a1, r11a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate fire alarm""']","r9a4, r11a4",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate fire alarm""']","r9a5, r11a5",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarms deactivated""']","r9a5, r12a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarm sirens mode 1 - sirene setting""']","r9a5, r14a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarm sirens mode 2 - sirene setting""']","r9a5, r15a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarm sirens mode 3 - sirene setting""']","r9a5, r16a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarm sirens mode 4 - sirene setting""']","r9a5, r17a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Alarm sirens mode 5 - sirene setting""']","r9a5, r18a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate fire alarm""']","r9a6, r11a6",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate fire alarm""']","r9a7, r11a7",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarms deactivated""']","r11a5, r12a1",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarm sirens mode 1 - sirene setting""']","r11a5, r14a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarm sirens mode 2 - sirene setting""']","r11a5, r15a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarm sirens mode 3 - sirene setting""']","r11a5, r16a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarm sirens mode 4 - sirene setting""']","r11a5, r17a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate fire alarm""', '""Alarm sirens mode 5 - sirene setting""']","r11a5, r18a3",SAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Activate night alarm""']","r2a1, r10a5",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Reset all alarms""', '""Auto turn on night alarm""']","r2a3, r7a1",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Presence after alarm reset""', '""Activate night alarm""']","r3a1, r10a1",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate night alarm""']","r9a4, r10a4",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate night alarm""']","r9a5, r10a5",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate night alarm""']","r9a6, r10a6",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate full alarm""', '""Activate night alarm""']","r9a7, r10a7",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Activate fire alarm""']","r10a1, r11a1",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Activate fire alarm""']","r10a4, r11a4",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Activate fire alarm""']","r10a5, r11a5",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Alarms deactivated""']","r10a5, r12a1",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Alarm sirens mode 1 - sirene setting""']","r10a5, r14a3",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Alarm sirens mode 2 - sirene setting""']","r10a5, r15a3",WAC,TP,TP
detect-output/iotb-rules/alarm.rules,"['""Activate night alarm""', '""Alarm sirens mode 3 - sirene setting""']","r10a5, r16a3",WAC,TP,TP
