file_name,rules,trad_result,LLM_result
detect-output/oh-rules/LightingScene.rules,"['""Lighting Scene Wakeup""', '""Lighting Scene Evening""']", SAC,AC
detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""2 - Milight_ID1_G1_BRIGHT""']", SAC,AC
detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""3 - Milight_ID1_G1_CT""']", SAC,CC
detect-output/oh-rules/MiLight.rules,"['""1 - Milight_ID1_G1_ONOFF""', '""4 - Milight_ID1_G1_HUE""']", SAC,CC
detect-output/oh-rules/MiLight.rules,"['""2 - Milight_ID1_G1_BRIGHT""', '""5 - Milight_ID1_G1_HubStates""']", WAC,AC
detect-output/oh-rules/MiLight.rules,"['""3 - Milight_ID1_G1_CT""', '""5 - Milight_ID1_G1_HubStates""']", WAC,AC
detect-output/oh-rules/MiLight.rules,"['""2 - Milight_ID1_G1_BRIGHT""', '""5 - Milight_ID1_G1_HubStates""']", SCC,CC
detect-output/oh-rules/MiLight.rules,"['""3 - Milight_ID1_G1_CT""', '""5 - Milight_ID1_G1_HubStates""']", SCC,CC
detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,TC
detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,TC
detect-output/oh-rules/WateringSystem.rules,"['""1 Watering_garden_startup""', '""7 Watering_starting/stoping""']", WAC,TC
detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""6 Watering_manual_start/stop""']", WAC,TC
detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""8 Watering_algorithm""']", WAC,AC
detect-output/oh-rules/WateringSystem.rules,"['""2 Rain_sensor_rain_activated""', '""8 Watering_algorithm""']", WAC,AC
detect-output/oh-rules/Doorbell.rules,"['""Auto Front Doorbell""', '""Send doorbell GIF to HomeHub and Pushover""']", SAC,CC
detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", SAC,AC
detect-output/oh-rules/irrigation.rules,"['""2 - Irrigation - calculate whether to start watering""', '""5 - Irrigation - all valves closed""']", SAC,TC
detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""5 - Irrigation - all valves closed""']", SAC,AC
detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", WAC,AC
detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""2 - Irrigation - calculate whether to start watering""']", WAC,AC
detect-output/oh-rules/irrigation.rules,"['""1 Irrigation - system start""', '""3 - Irrigation - cascading""']", WAC,CC
detect-output/oh-rules/irrigation.rules,"['""2 - Irrigation - calculate whether to start watering""', '""3 - Irrigation - cascading""']", WAC,AC
detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""4 - Irrigation - update timer""']", WAC,AC
detect-output/oh-rules/irrigation.rules,"['""3 - Irrigation - cascading""', '""5 - Irrigation - all valves closed""']", WAC,AC
